,time,open,high,low,close,tick_volume,spread,real_volume
113,1594252800,9417.5,9458.25,9142.0,9219.75,187850,0,4305000
114,1594339200,9229.8,9244.25,9102.39,9217.75,141874,0,4305000
115,1594598400,9217.75,9328.75,9180.25,9232.5,142582,0,4305000
116,1594684800,9221.75,9262.5,9070.4,9258.0,165348,0,4305000
117,1594771200,9251.49,9268.75,9134.5,9191.46,135138,0,4305000
118,1594857600,9186.42,9216.25,9013.0,9088.25,165086,0,4305161
119,1594944000,9089.75,9169.0,9063.0,9140.5,123916,0,4305000
120,1595203200,9165.25,9225.5,9115.0,9156.5,121820,0,4305000
121,1595289600,9156.75,9427.75,9133.5,9362.5,140814,0,4305000
122,1595376000,9369.5,9386.75,9261.95,9359.25,113194,0,4305000
123,1595462400,9359.25,9667.0,9352.25,9578.75,167682,0,4306497
124,1595548800,9569.7,9622.25,9460.5,9620.55,147384,0,4305000
125,1595808000,9868.0,10927.7,9838.39,10875.19,361590,0,4347627
126,1595894400,10843.8,11400.65,10569.75,10953.58,714098,0,4386333
127,1595980800,11012.51,11290.25,10837.0,11202.5,394062,0,4305740
128,1596067200,11229.73,11340.5,10794.06,11144.5,327082,0,4449000
129,1596153600,11167.81,11448.75,10960.13,11332.75,368802,0,4308592
130,1596412800,11105.65,11470.75,10872.68,11371.75,344032,0,4305123
131,1596499200,11340.56,11410.25,10969.33,11174.31,369354,0,4305049
132,1596585600,11174.2,11719.75,11071.02,11643.41,343026,0,4305000
133,1596672000,11673.05,11900.5,11457.43,11842.25,405492,0,4313612
134,1596758400,11847.71,11904.25,11318.67,11561.75,409666,0,4307525
135,1597017600,11658.5,12067.5,11425.52,11847.22,520384,0,4323415
136,1597104000,11835.08,11928.71,11100.27,11200.26,633442,0,4305000
137,1597190400,11170.39,11614.75,11102.39,11550.75,472814,0,4305000
138,1597276800,11535.0,11650.68,11257.13,11517.52,428476,0,4305000
139,1597363200,11679.69,11850.25,11572.18,11714.25,368738,0,4305000
140,1597622400,11817.77,12472.51,11716.25,12236.31,377162,0,4307465
141,1597708800,12308.84,12405.75,11800.69,12014.88,375154,0,4305622
142,1597795200,12030.02,12084.03,11543.5,11639.11,442832,0,4299000
143,1597881600,11703.29,11877.99,11660.74,11773.16,393178,0,4306293
144,1597968000,11837.1,11891.25,11581.08,11611.0,482476,0,4305000
145,1598227200,11633.18,11816.25,11573.75,11704.06,223296,0,4305000
146,1598313600,11699.72,11776.15,11098.75,11244.75,380748,0,4308291
147,1598400000,11247.07,11534.5,11233.75,11490.45,283600,0,4313401
148,1598486400,11494.95,11582.75,11105.0,11181.78,385934,0,4305000
149,1598572800,11228.79,11540.25,11182.26,11482.8,425110,0,4305000
150,1598832000,11600.43,11766.75,11559.0,11666.25,274964,0,4308187
151,1598918400,11638.12,12044.75,11502.5,11999.42,336768,0,4305000
152,1599004800,11981.7,12047.5,11124.56,11355.5,443000,0,4305000
153,1599091200,11329.3,11468.25,10442.15,10768.75,518840,0,4314939
154,1599177600,10742.32,10786.75,9870.64,10588.25,644792,0,4326648
155,1599436800,10209.07,10338.0,9861.25,10138.75,445190,0,4305297
156,1599523200,10161.14,10431.5,9915.35,9994.5,294566,0,4519240
157,1599609600,9994.5,10335.63,9833.3,10242.5,316408,0,4234900
158,1599696000,10242.5,10478.99,10161.5,10283.64,581988,0,4320000
159,1599782400,10284.25,10375.0,10190.76,10313.25,516372,0,4320000
160,1600041600,10304.5,10745.5,10236.75,10679.75,479722,0,4320000
161,1600128000,10682.5,10924.18,10605.15,10848.97,1350014,0,4328350
162,1600214400,10848.97,11085.07,10652.89,10980.3,1857894,0,4320000
163,1600300800,10980.3,11029.37,10733.61,10925.43,1850928,0,4320000
164,1600387200,10925.43,11028.69,10805.24,10874.73,1826568,0,4320000
165,1600646400,10845.0,10980.35,10283.57,10465.77,1852080,0,4320000
166,1600732800,10465.77,10520.05,10346.56,10500.0,1834048,0,4320000
167,1600819200,10500.0,10560.62,10122.5,10209.18,1816816,0,4320000
168,1600905600,10209.18,10707.69,10181.34,10616.22,1831490,0,4320000
169,1600992000,10616.22,10782.94,10542.22,10703.4,1817694,0,4320000
170,1601251200,10712.5,10934.0,10693.02,10856.68,1818704,0,4320000
171,1601337600,10856.68,10874.94,10622.24,10743.44,1815124,0,4320000
172,1601424000,10743.44,10848.53,10649.31,10691.87,1783786,0,4320000
173,1601510400,10691.87,10914.15,10430.25,10592.38,1799092,0,4317000
174,1601596800,10592.38,10650.5,10368.29,10531.09,1810046,0,4320000
175,1601856000,10635.52,10763.13,10612.81,10725.11,1777118,0,4320000
176,1601942400,10725.11,10788.5,10513.91,10535.56,1782270,0,4320000
177,1602028800,10535.56,10666.79,10512.57,10647.69,1762010,0,4320000
178,1602115200,10647.69,10942.0,10522.52,10882.0,1773952,0,4320000
179,1602201600,10882.0,11095.37,10821.35,11027.85,1779206,0,4320000
180,1602460800,11316.33,11580.56,11181.35,11551.5,1792278,0,4320000
181,1602547200,11551.5,11710.52,11298.04,11419.27,1809116,0,4320000
182,1602633600,11419.27,11541.17,11282.65,11379.31,1785296,0,4320000
183,1602720000,11379.31,11604.12,11247.07,11531.05,1790546,0,4320000
184,1602806400,11531.05,11536.0,11200.72,11303.75,1798028,0,4320000
185,1603065600,11431.85,11819.71,11398.92,11719.5,1781944,0,4320000
186,1603152000,11719.5,12039.68,11671.75,11891.75,1814994,0,4320000
187,1603238400,11891.75,12898.42,11873.65,12843.5,1850042,0,4320000
188,1603324800,12843.5,13233.83,12688.76,13110.98,1860078,0,4320000
189,1603411200,13110.96,13188.05,12719.52,12929.24,1823776,0,4320000
190,1603670400,13027.75,13229.57,12774.87,13022.07,1824546,0,4320000
191,1603756800,13022.07,13749.62,12985.0,13695.77,1838768,0,4320000
192,1603843200,13695.77,13845.0,12886.83,13190.56,1881130,0,4320000
193,1603929600,13190.56,13635.97,12972.39,13511.32,1873318,0,4320000
194,1604016000,13511.32,13663.32,13115.0,13625.75,1820364,0,4140000
195,1604275200,13812.25,13826.5,13207.12,13606.68,1892502,0,4320000
196,1604361600,13606.68,13789.19,13279.12,13726.52,1890806,0,4320000
197,1604448000,13726.52,14256.43,13525.67,13996.37,1922420,0,4320000
