,Unnamed: 0,time,open,high,low,close,tick_volume,spread,real_volume,stochastic,stochastic_buy_signal,stochastic_sell_signal
139,139,1563235200,10798.87,11055.0,9444.2,9571.75,1718574,0,7200000,3.2932701617588025,True,False
140,140,1563321600,9571.75,9963.67,9050.72,9667.75,4471994,0,7200000,14.981801759365613,True,False
145,145,1563926400,10124.1,10124.1,9489.38,9646.37,4465502,0,7195000,14.462684501509067,True,False
146,146,1564012800,9646.37,10158.19,9638.24,9849.57,18223868,0,7195000,19.396483696853007,True,False
147,147,1564099200,9849.58,9920.0,9632.9,9808.95,1708620,0,7195000,18.410209467941264,True,False
148,148,1564358400,9487.05,9692.12,9098.75,9490.02,4472314,0,7200000,10.666427098989228,True,False
149,149,1564444800,9490.02,9743.59,9351.17,9515.87,15477992,0,7200000,14.919269480207113,True,False
153,153,1564963200,10921.57,11924.65,10761.24,11704.01,12725608,0,7200000,92.3227079295599,False,True
155,155,1565136000,11623.12,12117.87,11183.56,11835.04,37493400,0,7195000,85.74351743047399,False,True
157,157,1565308800,11570.6,12029.86,11563.72,11838.2,7223300,0,7200000,85.8425381903643,False,True
170,170,1566950400,10117.06,10267.17,9523.35,9643.21,93216220,0,7195000,7.0220889010089955,True,False
171,171,1567036800,9638.12,9721.23,9301.06,9501.73,12865416,0,7185000,8.920926634747472,True,False
172,172,1567123200,9501.73,9673.53,9330.61,9599.07,54691864,0,7195000,14.090707064975845,True,False
174,174,1567468800,10384.84,10753.83,10265.06,10687.65,7221750,0,7195000,85.36118395941831,False,True
188,188,1569196800,9984.27,10049.96,9665.07,9741.07,1718728,0,6840097,10.300888990198288,True,False
189,189,1569283200,9741.07,9792.92,8027.49,8554.05,1719896,0,6854517,18.19419441555433,True,False
190,190,1569369600,8554.05,8773.63,8206.42,8488.0,1720506,0,6835277,15.911972938139881,True,False
191,191,1569456000,8488.0,8628.04,7715.6,8069.38,1717914,0,6835301,12.70250473947262,True,False
192,192,1569542400,8069.38,8108.74,7843.36,8036.46,1715450,0,6835281,11.771266311784833,True,False
193,193,1569801600,7987.7,8333.42,7689.53,8214.26,1719486,0,6840108,19.068193876141972,True,False
195,195,1569974400,8350.47,8394.43,8152.77,8211.43,3415932,0,6835320,18.965354342154058,True,False
196,196,1570060800,8211.44,8389.32,8056.82,8122.85,5119128,0,6830689,16.27774188216558,True,False
197,197,1570147200,8122.69,8270.4,7988.06,8143.59,6810922,0,6830568,17.12819932477038,True,False
198,198,1570406400,7882.99,8288.66,7746.15,8191.04,1714118,0,6994053,18.91812369150683,True,False
199,199,1570492800,8191.04,8320.44,8089.43,8105.87,1711010,0,6835391,15.705313189611278,True,False
207,207,1571356800,8021.35,8094.57,7802.06,7922.08,6886694,0,6830661,16.910980169753856,True,False
210,210,1571788800,8100.27,8100.27,7279.6,7467.19,1672396,0,6835409,12.448901040560585,True,False
211,211,1571875200,7467.19,7486.54,7334.63,7433.08,1708148,0,6835336,10.185283499681438,True,False
212,212,1571961600,7433.08,8764.26,7374.75,8547.32,1725684,0,6835339,84.12879592270122,False,True
213,213,1572220800,9594.78,9908.63,9245.21,9451.51,1704690,0,6856519,82.61259856296813,False,True
214,214,1572307200,9451.51,9535.38,9056.78,9398.86,1700558,0,6840042,80.60995880609964,False,True
218,218,1572825600,9133.69,9557.03,9104.46,9417.22,1711106,0,6840163,81.30831523413578,False,True
226,226,1573689600,8729.16,8762.4,8538.63,8627.33,1695662,0,6835535,6.474452554744579,True,False
227,227,1573776000,8627.33,8745.82,8349.1,8429.23,1698302,0,6835484,6.633662546670683,True,False
228,228,1574035200,8529.94,8529.94,8013.14,8194.22,1699976,0,6840180,11.728814876707471,True,False
229,229,1574121600,8194.22,8196.06,7976.31,8084.23,1703690,0,6840099,6.8272685864668725,True,False
230,230,1574208000,8084.23,8195.98,8005.32,8063.03,1700670,0,6835400,5.486107596538244,True,False
231,231,1574294400,8063.03,8092.45,7372.61,7569.7,1703430,0,6835417,9.022532296902613,True,False
248,248,1576454400,7109.25,7125.5,6781.5,6854.5,154550,0,4328091,6.909868807148401,True,False
249,249,1576540800,6855.25,6920.25,6555.0,6600.25,191034,0,4346630,3.527000062355802,True,False
